county_fips,ai_intensity_sum,lisa_pvalue,moran_i,cluster_code,cluster_type
22097,1.0,0.049,0.003037916673874839,1,HH
47055,0.0,0.462,0.04603535428087544,0,Not Significant
39095,2.0,0.001,-0.07183972104381718,4,HL
05093,0.0,0.001,0.06961036934581397,3,LH
18043,0.0,0.294,-0.0011146758490016082,0,Not Significant
20129,0.0,0.387,0.06961036934581397,0,Not Significant
21081,0.0,0.001,0.06961036934581397,3,LH
21217,0.0,0.387,0.06961036934581397,0,Not Significant
37075,0.0,0.387,0.06961036934581397,0,Not Significant
54045,0.0,0.469,0.06961036934581397,0,Not Significant
54073,0.0,0.469,0.06961036934581397,0,Not Significant
51071,5.0,0.41,-0.07789856595196308,0,Not Significant
54019,0.0,0.335,-0.001114675849001612,0,Not Significant
53061,9.0,0.052,1.6218586995009692,0,Not Significant
35015,0.0,0.36,0.05782286181334471,0,Not Significant
31117,0.0,0.36,0.05782286181334471,0,Not Significant
31145,0.0,0.387,0.06961036934581397,0,Not Significant
31149,0.0,0.387,0.06961036934581397,0,Not Significant
47085,0.0,0.387,0.06961036934581397,0,Not Significant
17125,0.0,0.325,0.06961036934581397,0,Not Significant
51197,0.0,0.387,0.06961036934581397,0,Not Significant
13303,0.0,0.325,0.06961036934581397,0,Not Significant
53077,0.0,0.057,-0.14256476623863276,0,Not Significant
05143,2.0,0.469,-0.05359219712835741,0,Not Significant
48213,0.0,0.213,-0.02763656779705745,0,Not Significant
55035,0.0,0.001,0.06961036934581397,3,LH
47153,0.0,0.357,0.05782286181334471,0,Not Significant
48471,0.0,0.212,-0.03647719844640939,0,Not Significant
04005,0.0,0.464,0.02246033921593692,0,Not Significant
20191,0.0,0.311,0.0595067914608403,0,Not Significant
26127,2.0,0.117,0.0984705021671407,0,Not Significant
27065,0.0,0.384,0.01303033318996151,0,Not Significant
39007,8.0,0.088,0.915389458836338,0,Not Significant
06003,0.0,0.373,0.0578228618133447,0,Not Significant
48167,0.0,0.006,-1.1091403839011122,2,LL
01011,0.0,0.457,0.027175342228924627,0,Not Significant
17105,0.0,0.048,-0.1897147963685098,2,LL
39135,0.0,0.073,-0.14256476623863276,0,Not Significant
39079,0.0,0.321,0.06961036934581397,0,Not Significant
48201,50.0,0.178,2.571335497413408,0,Not Significant
25017,5.0,0.043,0.8702363711590206,1,HH
48115,0.0,0.321,0.06961036934581397,0,Not Significant
36069,0.0,0.466,0.03424784674840618,0,Not Significant
01001,1.0,0.439,-0.0006616657555968972,0,Not Significant
20121,1.0,0.055,0.0024446891706067777,0,Not Significant
13091,0.0,0.32,0.06961036934581397,0,Not Significant
36023,0.0,0.001,0.06961036934581397,3,LH
13039,0.0,0.208,-0.018795937147705503,0,Not Significant
26161,5.0,0.006,2.601613212839947,1,HH
18087,2.0,0.314,0.0011503746180219195,0,Not Significant
48371,0.0,0.001,0.06961036934581397,3,LH
13225,0.0,0.467,0.06961036934581397,0,Not Significant
13311,0.0,0.383,0.06961036934581397,0,Not Significant
13163,0.0,0.216,0.06961036934581397,0,Not Significant
55083,0.0,0.394,0.04940321357586665,0,Not Significant
48347,1.0,0.441,-0.0006616657555968972,0,Not Significant
44009,5.0,0.01,2.428475528671855,1,HH
53047,0.0,0.496,0.029196057805919346,0,Not Significant
53063,2.0,0.001,-0.07183972104381717,4,HL
55041,0.0,0.001,0.06961036934581397,3,LH
55113,0.0,0.001,0.06961036934581397,3,LH
34017,9.0,0.004,6.057005482183974,1,HH
39151,6.0,0.089,0.5012584944428982,0,Not Significant
48187,0.0,0.2,-0.0364771984464094,0,Not Significant
53029,0.0,0.098,-0.11427474816070653,0,Not Significant
54037,0.0,0.383,0.06961036934581397,0,Not Significant
51153,3.0,0.417,-0.03910214760279957,0,Not Significant
42029,6.0,0.023,1.447361985052663,1,HH
54055,0.0,0.207,-0.03142540950392257,0,Not Significant
47145,2.0,0.204,0.037645422448941465,0,Not Significant
53009,0.0,0.215,-0.0011146758490016046,0,Not Significant
